1480000,Biggin,Northern Metropolitan
1035000,Biggin,Northern Metropolitan
1465000,Biggin,Northern Metropolitan
850000,Biggin,Northern Metropolitan
1600000,Nelson,Northern Metropolitan
941000,Jellis,Northern Metropolitan
1876000,Nelson,Northern Metropolitan
1636000,Nelson,Northern Metropolitan
300000,Biggin,Northern Metropolitan
1097000,Biggin,Northern Metropolitan
700000,Jellis,Northern Metropolitan
1350000,Nelson,Northern Metropolitan
750000,Biggin,Northern Metropolitan
1172500,Biggin,Northern Metropolitan
441000,Greg,Northern Metropolitan
1310000,Jellis,Northern Metropolitan
1200000,Jellis,Northern Metropolitan
1176500,LITTLE,Northern Metropolitan
955000,Collins,Northern Metropolitan
890000,Biggin,Northern Metropolitan
1330000,Kay,Northern Metropolitan
900000,Beller,Northern Metropolitan
1090000,Jellis,Northern Metropolitan
500000,Collins,Northern Metropolitan
1100000,Biggin,Northern Metropolitan
1315000,Marshall,Northern Metropolitan
426000,Greg,Northern Metropolitan
1447500,Nelson,Northern Metropolitan
457000,Jellis,Northern Metropolitan
1135000,Nelson,Northern Metropolitan
1542000,Collins,Northern Metropolitan
1290000,Biggin,Northern Metropolitan
1290000,Biggin,Northern Metropolitan
470000,Nelson,Northern Metropolitan
1180000,Jellis,Northern Metropolitan
1195000,Jellis,Northern Metropolitan
1012500,Nelson,Northern Metropolitan
1030000,Biggin,Northern Metropolitan
840000,Nelson,Western Metropolitan
730000,Nelson,Western Metropolitan
770000,Nelson,Western Metropolitan
603000,Nelson,Western Metropolitan
700000,Brad,Western Metropolitan
600000,Maddison,Western Metropolitan
500000,Barry,Western Metropolitan
720000,Barry,Western Metropolitan
785000,Considine,Western Metropolitan
725000,Barry,Western Metropolitan
450000,Barry,Western Metropolitan
515000,Barry,Western Metropolitan
530000,Nelson,Western Metropolitan
895000,Rendina,Western Metropolitan
805000,Nelson,Western Metropolitan
752000,Nelson,Western Metropolitan
440000,Barry,Western Metropolitan
755000,Propertyau,Western Metropolitan
700000,Brad,Western Metropolitan
830000,Barry,Western Metropolitan
462500,Barry,Western Metropolitan
670000,Barry,Western Metropolitan
675000,Barry,Western Metropolitan
1042000,Nelson,Western Metropolitan
910000,McDonald,Western Metropolitan
773000,Brad,Western Metropolitan
810000,Barry,Western Metropolitan
715000,Rendina,Western Metropolitan
790000,Nelson,Western Metropolitan
540000,Nelson,Western Metropolitan
825000,Barry,Western Metropolitan
685000,Barry,Western Metropolitan
805000,Barry,Western Metropolitan
510000,Nelson,Western Metropolitan
612000,Nelson,Western Metropolitan
662000,Brad,Western Metropolitan
978000,Nelson,Western Metropolitan
720000,Nelson,Western Metropolitan
765000,Prof.,Western Metropolitan
900000,Harcourts,Western Metropolitan
